Name,Status,Price,Stars,Ratings,URL,UPC
E99Pro Drone HD Professional 4k drone Dual camera  WIFI fpv aircraft quadcopter,Brand New,"497,592.08 VND",Ope,Sponsored,https://www.ebay.com/itm/176631821092?_skw=drone&itmmeta=01JD67D0QQN06Z87CBPK7NTXQX&hash=item292013b324:g:7hgAAOSwLZRnD1xI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn5jyWjPmqAGkYgn84ngfXy3%2FNK2wPZ%2BTbxaotSCA0Y9rgdCJyiyDtk72oh6vxIEEft%2FGK6MIyhbaRB9IRXWHq3LlorNX4%2BndXBu0Jro7GxsN5di574k0ND%2BofJT%2FzOvtin4Dc%2Bqh2Y%2BiQXDhd0AbcKy9w6GbKcly%2BjYM%2BI0h7OoRmPEEbl%2FOhSlzqGOkFHd%2FGcd73GVnnt5URt65ROi6InpoP6O4FDEwLXlH%2FGjK5y%2FjvFPNiva5GW1v%2FGN0pLXtXLkRScZtrip4TGKbasVi6q%7Ctkp%3ABFBMjoy0x-lk,
"2024 E88Pro RC Drone with 4K Camera, Foldable Design, WIFI FPV",Brand New,"562,886.16 VND",Ope,Sponsored,https://www.ebay.com/itm/176666725180?_skw=drone&itmmeta=01JD67D0QR5XRRN8H3GTFB0VBT&hash=item2922284b3c%3Ag%3A%7ErcAAOSwh2FnI57i&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkU69VAS01zs8yku72GH3rJPWo5DkRXDUh%2FfGTLCZKQtZEc1J%2Bepj7y9AE%2FXqiECddfUU8Fcjjekm4A5GGCK7ex5Uqt594Z1Isxh99QhLWuVsL0kp%2Brps%2BuANC%2BWaSBiUaoNnxNt0t3%2FzfIqP5benDzgJagsXqIH3g7LD4syVKPIAyCoJfGUeiAE6ITjxSZ1zS6Dzq1bYMRgf1eemeSCIvZO0m62KkhTm7FOnts0D7Ga0QJfTthIiUufDVe1LUkDJsg4xvOBJIkgBU7pncDOJSW%7Ctkp%3ABFBMkIy0x-lk&var=476335216510,
Emax Tinyhawk II Freestyle FPV Drone (Not Working),Pre-Owned,"2,032,080.00 VND",Ope,Sponsored,https://www.ebay.com/itm/387635226516?_skw=drone&epid=2310229807&itmmeta=01JD67D0QRV5ENPYW7A65J1QED&hash=item5a40dc2794:g:KdQAAOSwQVVnPoqi&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkXj3PBIb9uu8zfG%2FT%2B%2FCy75MwEWVT8pMo4pkm6QjesWbPZSAVuj43d24auWxyrigTfxThFBUD9meFeMzdFT2839NbUj6nn3QdhNx92Vi9WU0MoETXf1Ht4rbQL%2BLVXGHi9mnLlc9bZ72zCipRBIPowVkqKkaUtnBIMl0HVIhShdMR96XM7LvmZG5Haxcwqeg8vTcaH19Hfg5tHVBdBbEV%2FKrDLQaaPCkF3OUJjwrk6mAowYWxiP4uTg0uGrcCayBa5dmVIiZ86bjXwQEfiTE68%7Ctkp%3ABk9SR5CMtMfpZA,
Phoenix Drone GPS Foldable Video 36 Minutes DRC-LSX10 Kit Good Condition,Pre-Owned,"3,657,489.99 VND",Ope,Sponsored,https://www.ebay.com/itm/196829402848?_skw=drone&epid=17035413332&itmmeta=01JD67D0R3TJ173KD6RGK28KDS&hash=item2dd3f256e0:g:zcsAAOSwjmJmEsMl&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnF%2BRek%2FQ3Vx68kMDNXYtjo04Yrk37heeGAZ2u3kN%2ByBfhZFAFgpZNNfskWK%2B2DWzk1G6Gpn96aABChJ9ntIiYzasLCbXoXNibQ7xpHCnMWycSWAEM6bM9WDOGp4qhNpMm6DyrK%2B9GVERpuq17Ig1zhdo7xO%2F4BZ07pst%2FSiEr0vr0CZ4eNORDu%2FAybpRJelKMUKtNBSX31NUrtC5SQI9Bajo8uGZDgyMB%2B2Zf%2Fvst0t4HXFQe%2FmNSw8Gafl%2FAA55ua%2BqxQb8B09lOTcCE2wdAd%7Ctkp%3ABFBMrIy0x-lk,
drone dji mavic 2 pro,Pre-Owned,"9,393,299.96 VND",Ope,Sponsored,https://www.ebay.com/itm/405365078679?_skw=drone&itmmeta=01JD67D0R3TTQQ0XXZHSD0PYJE&hash=item5e61a43a97:g:RPQAAOSwsDVnLknk&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnohSwdRwQ3GCJctm0UgQ1dENjFqaDlXfDNhvWRnCHxlaFBrephXoyhTBAHtAxFL9tooxDBiKg0jNK6pAzwLAY88Dwa0XLzNjEGxmqn8RD5XBnyuP3OelvP92HVNUwOAtDWjg7DeZK49Wkh8fWTRsqGcK6qLM6RBK6A%2Fz%2BhQjIwcGToc8S1tFHmyPKFd7jKaTEafr3eWvgPpGfK1jG9%2BRRnddBEvqGOyzoWHFtGM6BlRG52GelwSu%2FoLwxmBunTThhAsmmswDwZ%2FwWIdKKYCetx%7Ctkp%3ABk9SR6qMtMfpZA,
Racing RC Drone & Obstacle Course Kit with 3 Hoop Sizes & Stopwatch Gift for Kid,Brand New,"1,650,810.99 VND",Ope,Sponsored,https://www.ebay.com/itm/115684752448?_skw=drone&itmmeta=01JD67D0R3RANZ5G3M7TEPMJB1&hash=item1aef593c40:g:XfkAAOSwHatj0YrZ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkVDsnBUw2774MMmC16z9uCttC%2BAaD5eTbFdEDMrG5fcVCbEhMjxnti3gunS9oupmyVPQb1cU0rEU8nuc%2Buzkk6XKSdWm5RkfoucYxR%2Bs3buhnAXj0k8LNQUwbGFOkdXKArgKmDrd5keudAOSIMaACwsgAiJxlC1yvntNJJ%2B2DF4qIZwlixu1i8V%2BxQCfbUhoiYE2ysVUSU0ANr%2BVGk8%2B2sLeRzUXi8xeq7RqczHiX%2BI%2FZsnOUqBIrhmR8BBJ1TG7JNR%2BD3l71NJAlbbKxv092a%7Ctkp%3ABFBMqoy0x-lk,
DJI Mavic Air Drone Remote Controller S01A,Pre-Owned,"1,488,498.60 VND",Ope,Sponsored,https://www.ebay.com/itm/334423304260?_skw=drone&epid=17032785349&itmmeta=01JD67D0R2Q9V3P11Z8KNSKKFM&hash=item4ddd2ea844:g:aFwAAOSwhChlf9js&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkabiRngbgjJeQgWoRG5eyIV3vfPzTS45zqfV5LJU%2FHDxrFpylDHVzoFIV0TjfpcFEnrrRkzEBJqzN0%2Fc6vaff6XXJtTyCy20qubDFwUtz7KuxXOvh6VQ5nJJZHSQv92ZfMvn8i04ScnHlPfo3EPboiODultWnVY%2BDSEaX8z5wHCGfeeYpuAEiVzu%2FudP7FPjDhOz0wBKmVX5gzts502Ak9xlJlPGg4jjjLIgcppbnoOy2m4ThbL6gcxSaCvbZHeriwIDken9UXvpikPu%2FkkRki%7Ctkp%3ABk9SR6qMtMfpZA,
RC-Drone With 4K HD Dual Camera WiFi FPV Foldable Quadcopter USN H1P4,Brand New,"511,695.22 VND",Ope,Sponsored,https://www.ebay.com/itm/186758894582?_skw=drone&itmmeta=01JD67D0R20D5FB4YA1WMVGAGY&hash=item2b7bb293f6%3Ag%3AxckAAOSw8YhnJc%7EP&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnA9SE8dw6kF6NSITH4wM8yZN7WuGnmDfOlg1p%2FFTgl8DQjn%2FjvgfKS0CfzEQF%2BOfPLGTJpHW0UoVce7WNctvqAWY6bm8JrkZDrbkUB%2BnOlf05NsCbq5VSXb1ojHRYHxrRQzrCU5xkVBsHT6ZhYjvV%2B6q0kxD%2F3NQ%2FDsEpkhuDqSYu3p3lRB%2FMrpvPcVhqmR6eENMful%2F5cXAMrMnmcYG0OXiqtFRTMTHVyG%2BMJFL2yVh3n4%2BnYVrUcp5QeCVkRJrLZ479xapt5aI9Oav90U%2BVA%7Ctkp%3ABk9SR6qMtMfpZA&var=694815717435,
"Parrot AR Drone 2.0 Power Edition Quadcopter 2 Batteries, Replacement Blades FUN",Pre-Owned,"2,335,875.96 VND",Ope,Sponsored,https://www.ebay.com/itm/315338493016?_skw=drone&itmmeta=01JD67D0R2DF6ZYP31XE11D5G3&hash=item496ba38c58:g:qgIAAOSwFR1kRFHK&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKleQKKYlC3VcZdshKsUdfqT4FQ3CkgFgCFLnx1ociKQ2eJilybbVa47bEtHhB4%2BxDcTvnJIg%2Fx0SP%2BPz%2F7LPUcuvpqv9NC70JFcDBgx3Da8%2Bm18i9RzPVCUPA8E9MUBT%2BSMI6R50JoWJhvWNxRxHX4cNMY4sCJqRS32%2FxibbzOXIgkd5gHpuJo37MJxy%2FGKOGccmH%2FH27qycqWwE73%2Bzn2qtiq%2BSeQPoIpgEo5JabLftGSXNwztgcONk1FcUwKs2XY7AZNHU394UoNcAZdvy3J5%7Ctkp%3ABk9SR6qMtMfpZA,
Odyssey The Real Pocket Drone w/HD Video Easy Fly Radio Control ODY1716NGOLD NIB,Brand New,"883,954.80 VND",Ope,Sponsored,https://www.ebay.com/itm/146178096216?_skw=drone&itmmeta=01JD67D0R261DT09KZTJ2JYT4C&hash=item2208e4bc58:g:h-oAAOSwO4VnL-6K&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkay95MKJdYNHF3c9ZN1pGtDYTgWQtrLJU1XI%2B1blVx5olSiVuqK%2B%2FZnpcqfHmLJlCIZTrWC8cK0KaZYRvrU9Wrr1rZTRbZRqzTgDE6brufnNg8TIyljZrF3iTjIiDKLW--i0CPJWuyQ0tJ7a4%2F6OCA%2F5nEw4wwu9uu1BXOwY3GMVAnd41fczhdV3DNHgGINrWT%2FQ3fQn5%2Fvx%2BiAX53dOomL0Ko5XKraZyjEk8eXzQmi6FqKX%2FopFJK3SxatGG6PvPm40PiGB3ec9H7PKsEY57g%7Ctkp%3ABk9SR6qMtMfpZA,
