Name,Status,Price,Stars,Ratings,URL,UPC
4TB 2TB 1TB SSD 2.5'' SATA III Internal Solid State Drive PC/MAC 560MB/s Lot,Brand New,"1,181,908.53 VND",Ope,Sponsored,https://www.ebay.com/itm/186747186831?_skw=ssd&itmmeta=01JD4ZWPRK600KNAF26ZGN23TP&hash=item2b7affee8f%3Ag%3AXGEAAOSwp8FnG5Z4&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlx7zu6FtKuxsk%2FnUUThfm5GpiMY5eNF9uiRwKuGMCzYSFhu3EdiQpc8SRbrMrV57V8zNnSp2njGn54fEbXBNxmjaxWFaOapaKBWuFjAlijexpImKPuiA2juFFiAJLYlDdCbwt4eX4eH%2FZn%2FTyEAVBUNNYYb%2BZp2N4BAaQ44AVztHBArQ1hZuKEYCcT%2FKZtjeayXAQ5hkXyNdCUz3d%2FihCV5uDERHoTAvfcIgQq71rNllFEkO7Bah6Bln5uowU%2BdY99QpPoWjB7NVFsm6NeCkhg%7Ctkp%3ABFBMvOzyn-lk&var=694801761487,
"New Intel SSD DC S3500 120GB 160GB 480GB 600GB 800GB 1.6TB 2.5"" SATA SSD",Brand New,"888,018.96 VND",Ope,Sponsored,https://www.ebay.com/itm/156201262017?_skw=ssd&itmmeta=01JD4ZWPRKQSSASGS9KS3RAHKW&hash=item245e521bc1%3Ag%3AJwMAAOSw9Q1mF6k%7E&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnIhISj%2FFi2CI4lkkXCM9b9K1aFw%2BMSqnpJk4lKr80QOLtIy0hVYBJrF8Mb86Uk9Hv7uW%2B4gCpa%2BMUEwgnj606jSZiKFsKtcScjSlkho7UJVNGPuAuq%2FRLZcFm4%2B832zufx7Eng8%2Buc33a0xB5ssnL%2F3y3udBS3emSbMgFdDsKHswmrkgsLGLa92zc5AZEUMLux8RgZZXj60Yc3N3V32D4gJherrlyP%2FWbf%2F1Ih0fZnew%3D%3D%7Ctkp%3ABk9SR77s8p_pZA&var=457092957228,
Samsung - 990 PRO 2TB Internal SSD PCle Gen 4x4 NVMe,Brand New,,Ope,Sponsored,https://www.ebay.com/itm/204568051204?_skw=ssd&epid=5057717649&itmmeta=01JD4ZWPRKG9BGA22KYD18ECWC&hash=item2fa134be04:g:~iIAAOSwyPtm8z8a&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmPNXzBjn%2BNJopwr4UqVEDEyG2pGEbcHwnVeW36nAj32GcErSN1G%2B4pU2xpRh31k%2BI0Jc4xygvTqo5vDz4UjUn2tcpbj4V1k6i9FqVxc%2B7Hkbw3570OlwDXkExnSGR1GAGQTz8i6DsklbLW%2Brk%2FS5cOdDfEPicVSlaVkj0wftZpYcDE%2FUzKIipgkz37FLbhKKBejACLWjX5erzEI9IoasswK%2BR4AMkjxV2fqYLhgQQysA%3D%3D%7Ctkp%3ABk9SR77s8p_pZA,
"LARGE CAPACITY PORTABLE STORAGE SSD, 16TB, MADE IN ALUMINUM",Brand New,"1,701,867.00 VND",Ope,Sponsored,https://www.ebay.com/itm/186785175309?_skw=ssd&itmmeta=01JD4ZWPRTPRAERXZ8CKS093RA&hash=item2b7d43970d:g:-F4AAOSwNOxnIowe&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlxATvBxT%2B9spmF9kLxPBJtzXlaIzpJzOn6ovESsOrEB75PTvf2Mj%2FKvvPRxrqEYpz%2BsbIUFzs52BidQE7kP%2BMYMD%2B%2B28w9EbLBdBacOrnaBWZM%2Fdj9t0LuxdmMTK9iwsOkDp59lKXg1Dz5agPQ3TumVB%2BgZ8jF6o44ZCr%2BYLRvjUZQwA8ZdyXXf6GMcwVFuKzTGJ76Wrp3zn0FYhcTJ%2B4sWHmAneqxrAAX5DS7X0u7yOHZvMLJUZrUZi2XV3Gzkf7q5NACkDOqmH4mlUGTIkz7%7Ctkp%3ABFBM2uzyn-lk,
"KIOXIA CD6 7.68TB SSD 2.5"" U.2 KCD61LUL7T68 NVME PCIe4.0 X4 Solid State Drive",Pre-Owned,"14,321,083.80 VND",Ope,Sponsored,https://www.ebay.com/itm/156356865058?_skw=ssd&itmmeta=01JD4ZWPRTBRRXKK2FBX1EF451&hash=item2467986c22:g:FDYAAOSwzSFmvb2e&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKl%2FqfjTwQj1aJ3U413bgiqywQ4l7hI971IxDzu2srmqQatWZYBX%2FQcPnoLSRu6TpzwU8bbd0RFBMsJDp8fQlpXl83g17n5RPoXU1edO16a1Y06t4fFNADTjtzNVb465JN9dzrz%2FDGVkTg8d%2FY1u2qIS%2FHFfvrWG417UgrUT3pynXJzktUtdGSepZxgh6s%2BAIb4%2F9jm4aLmIn9KEBPWNOn6uNPGtlNSxoTyUQ2xF36JDUw%3D%3D%7Ctkp%3ABk9SR9rs8p_pZA,
"1TB HDD/SSD 2.5"" SATA Hard Drive for Laptop with Win 10/Win 11 Pro Pre-installed",Pre-Owned,"735,358.95 VND",Ope,Sponsored,https://www.ebay.com/itm/394540835578?_skw=ssd&itmmeta=01JD4ZWPRTVTTEPSTBZW68RZ70&hash=item5bdc7762fa%3Ag%3AB%7E4AAOSw7uBkQoQ%7E&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkdFd9lNo6dUu7MI1yjC8znaz%2BqBlCsFtBY2EUSyBnsXWfrM6qNJx2i9G19cDTs1LovcYSbz4ktwTxNHqKV1PWIrPXE2cts3oDRgj5g30jPTnn210grt9rMy5pZILk2HKwkB4Fwdjx%2FtuigjARCMG1SrY35W8OG2plXCVaHf9KG1gwP6xaeOO6qTi9drI5hqzo6VvB6rgMSAAJULItuVArexMTDRUIt1%2Bgee6FXzy%2F0aMgsKOjlCB0%2FDfldztaimNbSuCXrZ0xNIyujBz9paywi%7Ctkp%3ABFBM2uzyn-lk&var=663087882125,
New Micron 7450 MAX 400GB M.2 2280 SSD NVMe Gen4 x4 MTFDKBA400TFS-1BC1ZABYY,Brand New,"2,611,222.80 VND",Ope,Sponsored,https://www.ebay.com/itm/156281429113?_skw=ssd&itmmeta=01JD4ZWPRTGPV3X9HEX90AZ4GN&hash=item2463195c79:g:I0cAAOSwbSZmgXEn&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlzmBbJWtyuBRgjvQ4FR7Phi2EJhA9QdWTnW5Bi5zIWJouAJ8rXSeTqunDByXZnerDsCjRMsB51dQZYux50jbaiyL7V6Q2%2Bwwt5NqaOlM%2BF6NGffP7m16RVbS6FRpgN1OJj0c6pUgOAl%2FM7%2FupmWB5REtGFJROZT1AHnTfN3RmoXNfIKrxi5ZmQfAMSwhmHj%2F7Hw5Ue5OgFKtpDn02IObcPt0vHR1tZBTKmTs9BdVXPpw%3D%3D%7Ctkp%3ABk9SR9rs8p_pZA,
Netac 2TB 1TB 512GB Internal SSD 2.5'' SATA III 6Gb/s Solid State Drive lot,Brand New,"308,368.14 VND",Ope,Sponsored,https://www.ebay.com/itm/315364975757?_skw=ssd&itmmeta=01JD4ZWPRTDWRSHR1R8HEKVGMH&hash=item496d37a48d%3Ag%3AsOEAAOSweGZmQyDG&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnj8mwh4EKyJVwI1AIOPV9xXe5GSdQTr77RooeqUFMxfJk5Rd%2FBgxfCpfTCHmjaEk8RSfDeqTBNg4EwXGqJcYlcWvgeOMWRxd1%2BinAvLgU23XHQze4LYNlqRveOYouh%2FM767uncg%2FxXhysM%2F481SaHCT8aZDo2jzHd7wSB4oepSwKV7Fg0hZG%2FZueJlPJ4btXjtsH77%2BRYpppVhbRjJ0Q0pOcy4Kbzb--jhDoJSuYMwiw%3D%3D%7Ctkp%3ABk9SR9rs8p_pZA&var=613847800858,
Model 1911 256GB NVMe M.2 2230 PCIe 3 x4 SSD For Microsoft Surface Laptop Pro X,Pre-Owned,"710,973.99 VND",Ope,Sponsored,https://www.ebay.com/itm/375774903280?_skw=ssd&epid=17061933457&itmmeta=01JD4ZWPRT4HXEE8TD50EXARC9&hash=item577dedfbf0:g:5f4AAOSwhX9nLd2T&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmpFeXKueLJhaXAnYPzwTWkSQslz7TG0nDPJ5ozB9t1qZ5Mdt771BnTU66K2p1Pp2Np%2FIoC3DiFH8dAV%2FFv%2BO8qVLzDN%2FE1KIqfDGzApk2VrtEbprQswXTVKeC6TGrAlF90e%2BflXxy5h9yMyxhNeMCXHjvML9IM9aV%2FyMJO5sKlcEZkfk0kZF1lwTnKgDdeSYoTI1CBL%2F0DFhI6snMTJrsnV%2FfrCpNURD6Dsr2YJr3Muge0W8pn%2BRkdFHqscd1zrkvQQ1%2B9Q47HW8Pm6slTcK%2By%7Ctkp%3ABk9SR9rs8p_pZA,
