Name,Status,Price,Stars,Ratings,URL,UPC
"Keller drum shells, custom paint avail. all sizes get a quote on full inventory",Brand New,"50,832.00 VND",Ope,Sponsored,https://www.ebay.com/itm/135388159645?_skw=drum&itmmeta=01JD6TCK0EAXR87P11Y85ZK31P&hash=item1f85c35e9d:g:BAkAAOSwa~lnPQEd&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlxAbRmTY%2F15Rj4WsZwg%2BowQuwOLe3W82dPm%2FCvvMfLFSaKbuhF%2Fxl8PmG6wVdNpBQFdF82UgEz%2BBv64MAlzTL%2F%2Bj6R%2BKzAR2qkzu2jGnwZSBkSEuhrPibazV3yG4%2B%2BE1x%2Bxq9OXcjU7gU4eTPc9fWgInxoeM9EX9dJQZ%2BWZOyLFTg3wZhQI%2F1sIeh0%2FALPOyck6NNiOJCHYxT7TeeZ3t8SO%2BxI2L2PIswU8eP7sI%2FpqoXPnagDEvnpt8WZRU%2F33WT28YqpadP%2BRYiEBMkYwExt%7Ctkp%3ABFBMsrCy2ulk,
"PEARL ELX 10"" x 8"" MiJ TOM TOM DRUM EXPORT SERiES TAiWAN FADED BLACK GREY BURST",Pre-Owned,"1,652,040.00 VND",Ope,Sponsored,https://www.ebay.com/itm/405369446921?_skw=drum&itmmeta=01JD6TCK0E7KXGZ73WV27TTQHE&hash=item5e61e6e209:g:L1gAAOSwRR5nPk3x&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkbPBO%2Flg5n10aYjN3vWGO3mMBUks%2BAPn3RuG5fkjNiCM%2BGaBoCqS07T70HGY2l4PgRxkl9fmAJXcIgAO1SYD4hoHm3saz0uqD%2F97w3JUGGJFWbMUS8KwCq5EbeeN1zE5s0VSQom3zVXVFRYaBT1VpaWtUiZ25LuRLLarslZP8riiDd5BDIaxrimeWGqis%2FIVb2l7OxsnSZ1EBtihY5RSu0N4DVtkzUmFTIF6m%2BGljeYw%3D%3D%7Ctkp%3ABk9SR7SwstrpZA,
"Mendini By Cecilio Drum Set – 3-Piece Kids Drum Set (16""), Black Metallic",Open Box,"1,524,960.00 VND",Ope,Sponsored,https://www.ebay.com/itm/135320600123?_skw=drum&itmmeta=01JD6TCK0P68Y2C7VKFFACEHPV&hash=item1f81bc7e3b:g:ElkAAOSwBKFnG6Y2&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnIU4oz8NqLPcnUtqjeoG0pwuapEWqD%2F7kj0Yv%2BysztoXehV8oC91XHJ6Nh%2FOtltzNP48ZrrDyzFYvWfhQYeE1%2BodJjf5sWvciwYRUAwM7XrEAD6Ovth21ENHv%2F4veYdv5l%2FIs2MX7Zr9PgoIWfirJo9EOC57knfbHJoTzLDHGlyyYsIAOxj%2BrXeTcpOD6vRFJhYH6tUP3KGsSkEi8B5ks7dniD6R7nRs0IfIQISF88P0sOqqZqHve5tPVEGNENcObLR97Qvr9d4jnrOO9CMFML%7Ctkp%3ABFBM1LCy2ulk,
Vintage Ludwig Champagne 14” Floor Tom,Pre-Owned,"5,057,784.00 VND",Ope,Sponsored,https://www.ebay.com/itm/116396177977?_skw=drum&itmmeta=01JD6TCK0PX5D98EBR9P90KNH9&hash=item1b19c0ba39:g:e0oAAOSwo3lnO5a8&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlrC05dxMcyP06zlLE10N3VNL0XccTsRFSR%2BGaRM%2BhdqX0aPVTZ5hoc8T%2FbCdxKep7tkiXYz72JFSTnieUGzB0R9NgxQMMLwERPGIr2%2FyWWRjKyXIc3iYRaEw55E3x74AZQ0BTqGYRtaCw%2F36LjduxTfgnNkPYlicBW6%2FcVEesi7m4jJ0T9P%2FBO3M%2BubTr8LBdWoo3PsOTujcjn9AqVJ49U7V58MOmUa0ji91hDtQYpVvNbuzi2zLJI0tpQGBoZNeJZx5pZSjbjtZLaZ%2FDimcx7%7Ctkp%3ABFBM0rCy2ulk,
Miniature Drum Set -  Iron Maiden (Ornamental) ,Brand New,"803,586.52 VND",Ope,Sponsored,https://www.ebay.com/itm/124912549798?_skw=drum&itmmeta=01JD6TCK0P7RDAHR23R6JQB49Y&hash=item1d155e3fa6:g:9sYAAOSwMedhSeVb&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkk0qE0y4r9tFhFL4NpZmjbK3qSLNufg2%2FHrUqn%2B1%2Fmt7dU%2F65MUs%2FThn4rh6ypcPS%2FU1t1%2B6MCtjgDPMqC3%2FQRn0UQB0Q7%2FW3K5ymlfJe%2BDhfp0QItY7ga5t0itCwCNCQ%2F4VpSMeJxpPlNGut6a%2BNws28ctEQ99HFlyZAyRHKmoVu4Bua9Fwc9PPcC89xx1zjYFN7H%2F41wLeetTXTUWFfU0gwU6HxZE2jdWLhZMbZRBQ%3D%3D%7Ctkp%3ABk9SR9KwstrpZA,
Nova Diversified Beginner Slit Tongue Wooden Percussion Drum With Sticks NEW,Brand New,"1,906,200.00 VND",Ope,Sponsored,https://www.ebay.com/itm/156404931584?_skw=drum&itmmeta=01JD6TCK0P9CN8MX7E9ZKQ37JW&hash=item246a75dc00:g:988AAOSw0Xlmaa7Z&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmn0xVn4mTZsgxPZeqNmhwaQbCw3V%2FOFySKUwxb0lPhLnTqArEi041COAkQE%2BMmCXYGp7Wk9%2BxsA70lJoAI0TvvTZEaPMrOK2Vrm9BVmBGgK5iuu1%2FwMdmYtQXgw0i3DVwnCSFxGYdMI6L%2FOkUGyk%2BpSZz5Z2tJc%2B0hrShZHS34gE07VFoxX6OPMjQiNZDCRBbLsuZagZ0qoud4OG%2FOCk%2B12vKRjcHhrAlQ5RlT9mSZEMqyLcthaDcfN6KqLUeToR2wCBWIcNWwqW6IkaeGFGek%7Ctkp%3ABk9SR9KwstrpZA,
"YAMAHA EAD10 Electronic Acoustic Drum Module 【Main Unit Only ""No Sensor Unit""】",Pre-Owned,"6,266,060.64 VND",Ope,Sponsored,https://www.ebay.com/itm/296719869092?_skw=drum&epid=2304206697&itmmeta=01JD6TCK0P6Q5HYAEEJNY7W4VC&hash=item4515e1e4a4:g:C~sAAOSwIExnMwbI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmSCqe0Sk8jgfOvIRAZvz6wEDlslPWmDgXr%2Bw01dUc9weA%2BAP7w%2BVgMn43FcRtzXHql%2F6xD50RRsym0BvGhblM%2BfQ9x2NECydvjEZuGK0SNhKz18OM4xXm7cQiu0XEI97HViLu7T%2Byc1q08p8KBXU7oeh3uMevQGuBIN8ttlgYw6LcjA9tRqXSEi2DGSzyxR1VYItM2AdxkH65T%2FmrErptZYm30PUvaz0Dr%2BYX7jzyKbnn1nkUg35oaGKkO8evgPwUapkxLLAzveQZy1U%2BLOrLv%7Ctkp%3ABk9SR9KwstrpZA,
"Groove Percussion  Snare drum Blue ,Yamaha Head.6” X14”.",Pre-Owned,"3,558,240.00 VND",Ope,Sponsored,https://www.ebay.com/itm/116271089775?_skw=drum&itmmeta=01JD6TCK0PXK4A4TV5FQ0HS7JY&hash=item1b124c086f:g:hKIAAOSwm09mqFZb&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkNk95spARPhThdiYnHnwfLxBRe0OEqxIc6wkPEoAv7pmtcQIGuh3JxZC%2BYfANIR5etmNacMSDIkuy7zfXAuuN3%2FG2icg0Y02Z%2Frgf%2BONSifKtzazxattvX5b2SVzEXXMhLIO9zADwHbIIvhgaxTNKlC15qhoGTYCw5gt5HF8aABM64kpKg%2BtPL8SedMUucfmNohXocpqbAWh58bcemeMt6ETgmHRebEGmsxQre1VsYDk6B9o2CLQLRSKCqOVjg4%2BldPV6xwm1owWz0Mvk4ECaH%7Ctkp%3ABk9SR9KwstrpZA,
Remo RO14 Tone Controls Rings for 14' Snare Drum Ring Mute 1 inch/1.5 inch Wide,Brand New,"914,721.84 VND",Ope,Sponsored,https://www.ebay.com/itm/284467138832?_skw=drum&epid=539743031&itmmeta=01JD6TCK0PHWGVPV2AN9TV7G7F&hash=item423b901110:g:xWcAAOSwRjVjgjjg&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk12YuRnq1oW2BgDcJITztAqyfQSFuirrqXxUKO748Xi6XWupzP2JVTORVsNnYhlMtOLMj7UqjoGWMTAseMhYx2%2BtI%2BcjwENt1WfWf%2FFRR6UPvwVXcNf2jQZcZwaVJsnj4908q75XWQ1xREJ%2BcUO%2F%2BjjPH4BMzyE3j%2B%2BHR%2FPG4NXT6MCJS4nqAPXsLK0vUtlCA%2FZPGyvva6KT%2B%2Fogx1ntrhx8j%2F1S0QALow4ga5P32JuoLoiF%2FfUmuVCxeStNsdb4%2FmnkyDsVJSHz1wlwhYtPrI%7Ctkp%3ABk9SR9KwstrpZA,
20 Beatles 45 Records- Free Shipping,Pre-Owned,"508,320.00 VND",Ope,Sponsored,https://www.ebay.com/itm/285899534659?_skw=drum&itmmeta=01JD6TCK0NGEPFFWDYK46SQYSJ&hash=item4290f0b143:g:Vf0AAOSwFUBmZJpj&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmNAQRa6IJaPq5wAMuu%2FZhIDMTZQB6CITsLPXep6CcPTVzYpKZD%2BzYzy5%2B%2FGMkJolr1P3yOjnASjqwruQ3J864W%2BghWPHDvIjx7qRvBSqjx45hcWxi88%2FRa7EDDOsWSgk1jOASV5bYQ2VNGwezVfpOKyLoGbWXYPVQry%2FT%2BbHTuK0rFR0p%2F%2B%2FzSE2uczSCPL6a9SUROk64hcW6gCjPzRWaOuPpxkFk8C%2Ba69dck4DuxiaZ9pn0z%2Fr77IRKDo%2B9tXHSgcOazKjBvumwivw3ki8or%7Ctkp%3ABk9SR9KwstrpZA,
