Name,Status,Price,Stars,Ratings,URL,UPC
MacBook Pro 13 Touch Bar 2016 3.3 GHz Intel Core i7 8GB 256GB Space Gray - Good,Good - Refurbished,"6,604,005.99 VND",Ope,Sponsored,https://www.ebay.com/itm/276627546690?_skw=macbook&itmmeta=01JD48WBB9JW2PHVAJ7BQQXBR6&hash=item4068496242:g:xroAAOSw~thm2cRb&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn%2Bd8xWCK9zNl7v2XDmeTVbuPmIDKY88EaTRFJZsQFo7E22n%2F9QYZp--25v8na8b2PUPxY0lD61ex5HOhSPD7AI8gNC1VL7rc6EA3cl5R4egZjz5ySu5ASfCJ9u6t1nBpOPJX7jSDsgINn3SgxUzm2seQvPrz%2FsIX5tF1Hbu7Occyr7%2BI7cDwPIEqVj6F4Bf7SoxbnyPPIPuFxqRz%2B5mHJORGYwKUOqUEfjQbEplCjQ9gIQGEN%2F%2BkKP276dr1%2BefvhDOvKd%2Bb8p1DTzwxb5EZNm%7Ctkp%3ABFBM_rXxiOlk,
"Apple MacBook Air 13” 2020 M1/i3/i5 3.2GHz 16GB, 256GB/512GB SSD All Colours BG",Good - Refurbished,"11,886,799.29 VND",Ope,Sponsored,https://www.ebay.com/itm/186136625826?_skw=macbook&itmmeta=01JD48WBB99D2R4FS6X28QYCYB&hash=item2b569b82a2%3Ag%3AZDEAAOSwCwlkjdq7&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKl7bkuor1zzsO1hdvs3Klp36%2BY6tURssOsEnSi0vnb6Bu%2F5b%2BpfIa6XW5bl4iLElB7flkdjuyQCaIuSFMISNBSv%2Fnpw53KenjaF6cnsga6NSu7VK1277M49n%2B62K9vik7UCGsCOLg9nHkH1qPEUAiyf8ZfWgDdlfWN2BdTJ1YyQ72hCY1YBx%2F5ietwrq1rK5J4XhCwQcAKXO0ZTuwUQnI%2Bbt9nqC9k9m6mD2D%2FEE8k%2Byg%3D%3D%7Ctkp%3ABk9SR4C28YjpZA&var=694828937060,
"Apple MacBook Air A1466  13.3"" Intel I7 CPU 8GB RAM 250 SSD 2017",Pre-Owned,"5,079,945.99 VND",Ope,Sponsored,https://www.ebay.com/itm/305861133163?_skw=macbook&itmmeta=01JD48WBB9SB3NF94VWHGZ3P71&hash=item4736be836b:g:vv0AAOSwr3FlCib~&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKncFBxDeoH8tM71Cfj5h4cKz9O84VyNaz5CUqzgK3rztrg0t8a1GkoJKzYKWgAP--x9YdgiEtu%2BLTC2sDQSeKIQl2PmkXPiy3dX%2FU3EDvPlI84%2Bqdd2y5xMDiGfg0hdQgTXrPQnQ5ww65NBmxRgwdAp3dAcNzWJf2jXkLbWl03XBqkCCnGdUXsiQnTWNXt8Y13WVPY1J%2F%2BY05pnPUmEVkVJqCsmEWjvP7f4PzJq5PpFnQ%3D%3D%7Ctkp%3ABk9SR4C28YjpZA,
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM 1TB HDD Turbo🔥,Pre-Owned,"6,223,245.00 VND",Ope,Sponsored,https://www.ebay.com/itm/126484103025?_skw=macbook&itmmeta=01JD48WBBTGADG1PRYQ8VCGD6G&hash=item1d730a3f71:g:7ZYAAOSwZvFmRQja&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKltbb5cc36Zfztq4S5p4IaMtr70nu2rixRv5a4myq11id3nMsSrxYFN8xBfkTo4Ys4%2Bzju71lSRTBvFnrf80D6Dze613q0if%2BsyJnsvD%2FN6WUkQZJsbNH%2FzWUuj6fcz6NbbgFy%2B62gw8tSjBRhPx6u2fphew1jZu1Y6PRgE7C0jXxe85hdlgzWSICLW8m1AwwlwnjT4dhoHgg3bPSO%2Frhe645fFMwQHURqyorUoMaVwqjmp32E6Zpcg%2BrgPs9Y37nRJ3acdbBInVXAHNe0y7cdJ%7Ctkp%3ABFBMqLbxiOlk,
"Apple MacBook Pro Core i5 2.6GHz 8GB RAM 512GB SSD 13"" ME662LL/A (2013) - Good",Good - Refurbished,"6,705,101.97 VND",Ope,Sponsored,https://www.ebay.com/itm/135357529777?_skw=macbook&epid=22041568820&itmmeta=01JD48WBBTXGGPNBKX9XPSXZAJ&hash=item1f83effeb1:g:NRIAAOSw1~pnLmCT&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnVhd0Ytyu7Tjp2Ey3Rf2LFMi1YxDkizzJL%2FPVzD8nJYlFVMGrIZVyNvbtptnNhqYdo7QDrLxckX5RRAEHge73TDG9KBMlsWKzxeQU5JjYIlDbrnPvRzeA9ttAeWXbYNtbcoovdKEH4aKh6ZE8GXq6j4vIgmrvk7o7LY7uPx6oLh5XYXQYcnsziEGuAk6XYZVA1KNxKvnYrPCfh3cJbvcsgzt5eEn8bNj7ysLau1NQeoooUGLPcXgEVGktJp6tGBwCQilfrY%2B6iHPCeDapG%2Fmc0%7Ctkp%3ABFBMqLbxiOlk,
"Sequoia NEW OS 2019-20+ Apple MacBook Pro 13"" 4.7GHz i7 Turbo 16GB RAM 512GB SSD",Excellent - Refurbished,"13,945,149.00 VND",Ope,Sponsored,https://www.ebay.com/itm/365220929626?_skw=macbook&itmmeta=01JD48WBBTH6CVKCEC4ZFMPY7Q&hash=item5508dd205a:g:5rIAAOSwWcFnLmtE&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmITHOIN3oR7FKct9CuLHiYktC1qUl9gjuJ4UY5pG8c%2BbZWHHIhEzE0ysnMD3TavOmi1zx4gT%2FYIpZbETAQRDoMn8g%2Ftw3m3Cbs1pLlxhlLPT3KuPJQ0wel2MpmOgJGQN2oDntPu8GA6l%2Fft8Q%2BxfiAW22DYwA%2BeOMIyenbX0uUQWO9fSPmxEFBUlV7mZSBsDjPkWzTZ9jty8YGzti2Qd9bfrkxTJL80Qa%2F2SYT2enbFg%3D%3D%7Ctkp%3ABk9SR6i28YjpZA,
MacBook Pro 13 Touch Bar Silver 2020 2.0 GHz i5 16GB 512GB Excellent Condition,Excellent - Refurbished,"12,370,032.99 VND",Ope,Sponsored,https://www.ebay.com/itm/276093246570?_skw=macbook&itmmeta=01JD48WBBTDFGK0KYVCBM3Y56B&hash=item4048709c6a:g:tawAAOSwT4VmO-v6&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKldJSBog5ZDIPTTNvt4%2FJZwNRmjzrheipGDj8D8ZWwnhq16le1PYoRqISY73DdHRxHX%2F23y8nlLKjPk4YzIe1xqAai%2FHVv4DSSan4m9wFgalTUFP4bvPi%2FMrSDNst7BKV%2Bgk9RR4uxRhLs1Lb1JZt2BJOFiMsjW3Mmg5ltHM919dCWPpYJX306n22qmApiG0JeLCiMnfNXbTp3rVGaHTFK92RHmPckkaL9yP5Qbrae3%2FTSb32Fj2KsqaNq3Z%2FnEYHs%3D%7Ctkp%3ABk9SR6a28YjpZA,
Apple MacBook Air 13-inch 2022 M2 / 8GB RAM / 512GB SSD / 10-Core GPU / Silver,Open Box,"21,057,429.00 VND",Ope,Sponsored,https://www.ebay.com/itm/395887844306?_skw=macbook&epid=19058641396&itmmeta=01JD48WBBTVCY82GDG91DHG5JK&hash=item5c2cc11bd2:g:aT4AAOSwLL9nI5Q4&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkAbSqjlXW7Wwm6MlDrpMvjM0VW%2FbdaFkHbeCcfGIpm1nEvOjod%2BaPCvqaKBFdsbmwgF4HGIfC3zA8%2FyxR91HjgW2YqUFewtDj72jR50LwmzkmC%2FrjvDHMRX6FFvZmLDhkROtXp%2B3BtPODEgBSfkVtrXq9bKUCNPxoU9hjsUhZknQPH%2B6uPJab7U8P%2FkIlFqoW5cVWDyriSkCMH4F2YB9V4rqz8XolG0ouyg06Ur5YW3na8cx%2BRnUmXD2Chx6nMTwdyQF%2FjRjt9qtMOhOqIyp46%7Ctkp%3ABk9SR6a28YjpZA,
Apple 13.3 MacBook Pro i5 1.4GHz 256GB SSD Space Gray UK KEYBOARD Very Good,Very Good - Refurbished,"8,485,204.05 VND",Ope,Sponsored,https://www.ebay.com/itm/335624056462?_skw=macbook&itmmeta=01JD48WBBTG171CZZV9H6EGQ2E&hash=item4e24c0ae8e:g:A4cAAOSwUHdnEYyu&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkKQMe6lyw4h0XoV9q9wMwRqqCOWn%2B%2BQ7Vc0EkTM%2FeW5ngcdY42ZjfQq7SL91KLUof6GcKkHuKCFOAaDtRpoxFdGFAFh5b7m7jXjMEnjDJ8T%2FFzFWmATBGzCysYYwjlaafQgaU8rLKh2guY%2FKajo7f2WHB1Y6Pk79bcSXoDBv22%2FoOTN7QTAik%2BL5EQe2%2Fs2C%2BpPkk1CMr0%2FELxYbpkXTrLvcpClDthUJRPwfbkaK6oUlv0hTfQ3Wmt49jKyy8g2SE%3D%7Ctkp%3ABk9SR6a28YjpZA,
Sonoma MacBook Pro 15 - 6 Core 4.5GHz Turbo i7 - 32GB RAM - 1TB SSD - Warranty,Good - Refurbished,"16,739,259.00 VND",Ope,Sponsored,https://www.ebay.com/itm/167055621916?_skw=macbook&itmmeta=01JD48WBBTKY7BFX0QKGSGND7P&hash=item26e54a7f1c:g:voIAAOSwAxhlMR~5&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKljd3dv8J5pyd%2FMd1kV1UdRbhd7OFQ8nghrxKno9z2kVI4TU4Pde3KBspNyaR2BgPb0%2BLQ7dJQLJEayiJb9WBvclMUkD%2BvkGoJZy%2B8g%2FrAEIVS0v3W7qkVGH6KV5YhYDa5meetKJ7vx2IXwcHtsJlQKX9o5qSSXJULi4E%2BsOjzTemFvwQiqcuKHISEgMW0OnR1guZ3BlvpCsQ%2FTYXY%2FoOkMZHG6ykzTzbY8q9cG7WPSM5zKQjcJmbkUbs14xkU3751zVtflV17Em%2BRToihIYX12%7Ctkp%3ABk9SR6a28YjpZA,
